  team	      player	   season	season_end
276 1st Team  Ray Bourque  1989-1990 1990
277 1st Team  Al MacInnis  1989-1990 1990
278 1st Team  Patrick Roy  1989-1990 1990
279 2nd Team  Brian Bellows  1989-1990 1990
280	2nd Team	Wayne Gretzky	1989-1990	1990
281	2nd Team	Cam Neely	1989-1990	1990
282 2nd Team  Paul Coffey 1989-1990 1990
283 2nd Team  Doug Wilson 1989-1990 1990
284 2nd Team  Daren Puppa 1989-1990 1990
285 1st Team  Luc Robitaille 1988-1989 1989
286 1st Team  Mario Lemieux 1988-1989 1989
287 1st Team  Joe Mullen 1988-1989 1989
288 1st Team  Chris Chelios 1988-1989 1989
289 1st Team  Paul Coffey 1988-1989
290 1st Team  Patrick Roy 1988-1989
291 2nd Team  Gerard Gallant  1988-1989
292 2nd Team  Wayne Gretzky  1988-1989
293 2nd Team  Jari Kurri  1988-1989
294 2nd Team  Ray Bourque  1988-1989
295 2nd Team  Al MacInnis  1988-1989
296 2nd Team  Mike Vernon  1988-1989
297 1st Team  Luc Robitaille  1987-1988
298 1st Team  Mario Lemieux  1987-1988
299 1st Team  Hakan Loob  1987-1988
300 1st Team  Ray Bourque  1987-1988
301 1st Team  Scott Stevens  1987-1988
302 1st Team  Gran Fuhr  1987-1988
303	2nd Team	Michel Goulet	1987-1988	1988
304	2nd Team	Wayne Gretzky  1987-1988	1988
305	2nd Team	Cam Neely	1987-1988	1988
306	2nd Team	Brad McCrimmon	1987-1988	1988
307	2nd Team	Gary Suter	1987-1988	1988
308	2nd Team	Patrick Roy	1987-1988	1988
309	1st Team	Michel Goulet	1986-1987	1987
310	1st Team	Wayne Gretzky	1986-1987	1987
311	1st Team	Jari Kurri	1986-1987	1987
312	1st Team	Ray Bourque	1986-1987	1987
313	1st Team	Mark Howe	1986-1987	1987
314	1st Team	Ron Hextall	1986-1987	1987
315	2nd Team	Luc Robitaille	1986-1987	1987
316	2nd Team	Mario Lemieux	1986-1987	1987
317	2nd Team	Tim Kerr	1986-1987	1987
318	2nd Team	Al MacInnis	1986-1987	1987
319	2nd Team	Larry Murphy	1986-1987	1987
320	2nd Team	Mike Liut	1986-1987	1987
321	1st Team	Michael Goulet	1985-1986	1986
322	1st Team	Wayne Gretzky	1985-1986	1986
323	1st Team	Mike Bossy	1985-1986	1986
324	1st Team	Paul Coffey	1985-1986	1986
325	1st Team	Mark Howe	1985-1986	1986
326	1st Team  John Vanbiesbrouck	1985-1986	1986
327	2nd Team	Mats Naslund	1985-1986	1986
